Voltage,Vitesse_testo,Pression_Pa,Vitesse_Pitot
60.0,4.92,17.874746063999982,5.458135527815333
57.5,4.68,16.057968595199988,5.173323979029342
55.0,4.44,15.667263763199987,5.110000613698592
52.5,4.2,13.987232985599999,4.828255893798505
50.0,3.99,13.987232985599977,4.828255893798501
47.5,3.77,12.09231455039999,4.489304799632119
45.0,3.56,11.916497375999988,4.456548996701369
42.5,3.34,10.13879039039999,4.110715750815177
40.0,3.12,9.962973215999986,4.07491783475446
35.0,2.72,8.028984297599983,3.6580924668466177
30.0,2.3,5.821501996799988,3.114884159643819
20.0,1.47,3.086568172799985,2.2681005903618945
10.0,0.58,1.8949184351999866,1.7771317880224802
0.0,0.0,0.0,0.0
